タイムスタンプ,カテゴリ,画像,緯度,経度,スポット名,紹介文,Instagram,Twitter,公式サイト,Facebook
2022/05/11 14:46:34,オフィス,https://geolonia.github.io/logo/geolonia-logo_b2.jpg,35.72999505265743,139.74767432616957,株式会社Geolonia（東京オフィス）,株式会社Geoloniaの東京オフィスです,geolonia,geoloniamap,https://geolonia.com,geolonia
2022/05/11 14:46:34,オフィス,https://geolonia.github.io/logo/geolonia-logo_b2.jpg,34.408531685536516,133.20352212113983,株式会社Geolonia（広島オフィス）,株式会社Geoloniaの広島オフィスです,geolonia,geoloniamap,https://geolonia.com,geolonia
